FID20,FINCOME1,FEXP1,PCE,SAVINGS,FINANCE_ASSET,NONHOUSING_DEBTS,HOUSE_DEBTS,HOUSEASSET_NET,HOUSEASSET_GROSS,TOTAL_ASSET,FOOD,HOUSE,MED,EEC,TRCO,FAMILYSIZE20,FSWT_NATCS20N
1001,120000,80000,70000,12000,25000,0,100000,450000,550000,500000,24000,18000,3000,6000,9000,3,1
1002,240000,155000,135000,5000,15000,0,700000,1200000,1900000,1280000,36000,42000,5000,16000,18000,4,1
1003,60000,59000,52000,1000,1000,8000,0,0,0,-10000,22000,9000,4000,3000,6000,2,1
1004,180000,118000,100000,4000,20000,0,300000,800000,1100000,900000,30000,30000,4000,12000,12000,3,1
1005,90000,58000,50000,9000,12000,0,0,0,0,18000,18000,12000,3000,5000,7000,1,1
1006,72000,70000,62000,2000,4000,7000,0,0,0,-1000,25000,10000,6000,3000,8000,3,1
1007,300000,190000,165000,30000,70000,10000,500000,1400000,1900000,1600000,42000,48000,8000,22000,24000,4,1
1008,150000,102000,90000,3000,5000,0,0,600000,600000,650000,30000,18000,7000,10000,12000,2,1
1009,84000,64000,56000,8000,15000,0,0,120000,120000,140000,21000,12000,5000,5000,8000,2,1
1010,200000,135000,118000,6000,40000,5000,250000,900000,1150000,1000000,34000,32000,6000,16000,15000,3,1
1011,48000,50000,45000,500,500,6000,0,0,0,-10000,19000,8000,8000,2000,5000,2,1
1012,360000,220000,190000,45000,100000,0,400000,1800000,2200000,2050000,48000,60000,9000,28000,30000,5,1
1013,110000,85000,75000,3500,6000,0,0,300000,300000,330000,26000,18000,5000,9000,10000,3,1
1014,0,42000,36000,2000,3000,0,0,100000,100000,110000,16000,8000,5000,3000,4000,1,1
1015,130000,90000,80000,15000,18000,2000,0,50000,50000,70000,27000,16000,6000,10000,9000,2,1
1016,100000,76000,68000,,12000,0,0,200000,200000,230000,23000,14000,7000,7000,9000,3,1
