FID22,FID20,FINCOME1,FEXP1,PCE,SAVINGS,FINANCE_ASSET,NONHOUSING_DEBTS,HOUSE_DEBTS,HOUSEASSET_NET,HOUSEASSET_GROSS,TOTAL_ASSET,FOOD,HOUSE,MED,EEC,TRCO,FAMILYSIZE22,FSWT_NATCS22N
2001,1001,90000,76000,68000,2000,9000,0,90000,430000,520000,470000,25000,19000,4000,5000,9000,3,1
2002,1002,270000,170000,148000,18000,35000,0,650000,1250000,1900000,1370000,38000,42000,6000,18000,20000,4,1
2003,1003,65000,60000,53000,800,1000,5000,0,0,0,-10000,22000,9000,5000,3000,7000,2,1
2004,1004,150000,120000,104000,2500,12000,5000,280000,760000,1040000,820000,31000,32000,6000,11000,13000,3,1
2005,1005,100000,65000,56000,12000,18000,0,0,0,0,26000,20000,13000,3000,6000,8000,1,1
2006,1006,85000,74000,65000,2500,7000,2000,180000,400000,580000,430000,26000,18000,5000,5000,8000,3,1
2007,1007,210000,175000,150000,5000,25000,30000,520000,1300000,1820000,1400000,40000,50000,9000,18000,23000,4,1
2008,1008,190000,115000,98000,15000,25000,0,0,620000,620000,700000,31000,19000,6000,12000,14000,2,1
2009,1009,70000,62000,55000,1000,4000,0,0,130000,130000,145000,22000,12000,6000,5000,7000,2,1
2010,1010,215000,142000,122000,13000,45000,3000,220000,920000,1140000,1060000,35000,33000,7000,17000,16000,3,1
2011,1011,30000,46000,41000,300,300,9000,0,0,0,-15000,18000,7000,9000,2000,4000,2,1
2012,1012,390000,235000,200000,55000,125000,0,350000,1900000,2250000,2200000,50000,61000,10000,30000,32000,5,1
2013,1013,125000,92000,80000,9000,14000,0,0,320000,320000,360000,27000,19000,5000,10000,10000,3,1
2014,1014,50000,43000,37000,1000,2000,0,0,100000,100000,112000,16000,8000,6000,3000,4000,1,1
2015,1015,140000,94000,82000,18000,24000,1000,0,60000,60000,85000,28000,17000,6000,10000,10000,2,1
2016,1016,105000,79000,70000,4000,14000,0,0,210000,210000,245000,24000,15000,7000,7000,10000,3,1
